 Ver5.0 position,Systematic ID,Gene ,Gene description,Ver5.0 strain (vs M-2030H-U5),Ver5.0 strain (vs M-3030H-U5),Ver5.0 strain (vs M-4030H-U5),ade type,,Plate/well position,,,,,,,,,,,,,
V5-P01-14,SPAC1527.02,sft2,Golgi transport protein Sft2,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,," S. pombe Haploid Deletion Mutant Set Ver 5.0 (M-5030H)

The Haploid Deletion Mutant Set Ver 5.0 contains 36 plates. Plates are “foot-printed” by leaving one well blank(the plate number). For example, plate 2 of S. pombe Haploid Deletion Mutant Set Ver 5.0 has 1 empty well: A2 (indicating plate number).

",,,,,,,,,,,,,
V5-P01-15,SPAC15E1.06,vps29,retromer complex subunit Vps29,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-16,SPAC15E1.09,grx2,glutaredoxin Grx2,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-17,SPAC1687.23c,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-18,SPAC16A10.05c,dad1,DASH complex subunit Dad1,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P01-19,SPAC16E8.08,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-20,SPAC16E8.18,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-21,SPAC1751.04,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-22,SPAC1782.04,cox24,mitochondrial mRNA processing protein Cox24,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-23,SPAC1782.11,met14,adenylyl-sulfate kinase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-24,SPAC1786.04,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-25,SPAC17D4.01,pex7,peroxin-7,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-26,SPAC17G8.09,shg1,Csp15 family protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-27,SPAC1805.08,dlc1,dynein light chain Dlc1,ver 2.0 to 5.0 New strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P01-28,SPAC1851.02,0,1-acylglycerol-3-phosphate O-acyltransferase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-29,SPAC1952.02,0,ribosome biogenesis protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-30,SPAC19A8.11c,0,recombination protein Irc6,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-31,SPAC19D5.11c,ctf8,DNA replication factor C complex subunit Ctf8,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-32,SPAC1D4.11c,lkh1,dual specificity protein kinase Lkh1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-33,SPAC1F8.08,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-34,SPAC212.03,0,hypothetical protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-35,SPAC227.14,0,nicotinamide riboside kinase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-36,SPAC22F3.07c,atp20,F0-ATPase subunit G,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-37,SPAC22H10.02,0,conserved fungal protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-38,SPAC23A1.03,apt1,adenine phosphoribosyltransferase (APRT),ver 2.0 to 5.0 New strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-39,SPAC23A1.11,rpl1602,60S ribosomal protein L13/L16,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-40,SPAC23C11.08,php3,CCAAT-binding factor complex subunit Php3,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-41,SPAC23C11.10,0,conserved eukaryotic protein,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P01-42,SPAC23C4.16c,atg15,triacylglycerol lipase Atg15,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-43,SPAC23C4.17,0,tRNA (cytosine-5-)-methyltransferase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-44,SPAC25B8.10,0,trans-aconitate 3-methyltransferase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-45,SPAC25G10.06,rps2801,40S ribosomal protein S28,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-46,SPAC27E2.01,0,alpha-amylase homolog,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-47,SPAC27F1.10,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-48,SPAC29A4.14c,0,peroxin-3,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-49,SPAC29A4.17c,0,FUN14 family protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-50,SPAC2C4.05,0,cornichon family protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-51,SPAC2C4.08,0,conserved fungal protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-52,SPAC2C4.09,0,DUF1640 family protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-53,SPAC2F3.12c,0,conserved eukaryotic protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-54,SPAC2F3.18c,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-55,SPAC343.20,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-56,SPAC3A12.08,0,conserved fungal protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-57,SPAC3G6.02,dss1,mRNA export protein Dss1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-58,SPAC3G6.13c,rpl4101,60S ribosomal protein L41,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-59,SPAC4D7.11,0,conserved fungal protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-60,SPAC4G9.06c,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-61,SPAC57A10.14,sgf11,SAGA complex subunit Sgf11,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-62,SPAC589.11,mug82,translation release factor,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-63,SPAC5D6.01,rps2202,40S ribosomal protein S15a,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-64,SPAC5D6.08c,mes1,meiosis II protein Mes1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-65,SPAC630.11,vps55,vacuolar sorting protein Vps55,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-66,SPAC630.15,mug177,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-67,SPAC664.10,klp2,kinesin-like protein Klp2,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-68,SPAC683.03,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-69,SPAC694.03,0,conserved fungal protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-70,SPAC6B12.06c,0,conserved fungal protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-71,SPAC6B12.15,cpc2,RACK1 homologue Cpc2,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-72,SPAC6F6.09,0,NuA4 histone acetyltransferase complex subunit,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-73,SPAC6G9.09c,rpl24,60S ribosomal protein L24,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-74,SPAC750.08c,0,NAD-dependent malic enzyme,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-75,SPAC823.02,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-76,SPAC824.07,0,hydroxyacylglutathione hydrolase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-77,SPAC890.07c,rmt1,type I ribosomal protein arginine N-methyltransferase Rmt1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-78,SPAC8C9.14,prr1,transcription factor Prr1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-79,SPAC8C9.19,0,conserved fungal protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-80,SPAC8E11.04c,0,phospholipase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-81,SPAC8E11.07c,alp31,tubulin specific chaperone cofactor A,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-82,SPACUNK4.19,mug153,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-83,SPAP11E10.01,0,ornithine cyclodeaminase family,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-84,SPAP27G11.16,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-85,SPAPB17E12.02,yip12,SMN family protein Yip12,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-86,SPAPB17E12.03,0,ubiquitin-protein ligase E3,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-87,SPAPB17E12.04c,csn2,COP9/signalosome complex subunit Csn2,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P01-88,SPAPB17E12.05,rpl3703,60S ribosomal protein L37,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-89,SPAPB17E12.08,0,N-glycosylation protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-90,SPAPB17E12.12c,0,mitochondrial transporter,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-91,SPAPB17E12.14c,0,6-phosphofructo-2-kinase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-92,SPAPB18E9.01,trm5,tRNA (guanine) methyltransferase Trm5,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-93,SPAPB18E9.04c,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-94,SPAPB1E7.07,glt1,glutamate synthase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-95,SPAPB21F2.03,0,conserved fungal protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P01-96,SPAPB2B4.02,grx5,monothiol glutaredoxin Grx5,ver 2.0 to 5.0 New strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-01,SPAPB2B4.06,0,conserved fungal protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-03,SPAPB8E5.02c,rpn502,19S proteasome regulatory subunit Rpn502,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-04,SPAPJ691.03,0,DUF543 family protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-05,SPBC106.05c,tim11,F0-ATPase subunit E,ver 2.0 to 5.0 upgraded strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-06,SPBC1105.09,ubc15,ubiquitin conjugating enzyme Ubc15,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-07,SPBC11C11.07,rpl1801,60S ribosomal protein L18,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-08,SPBC1348.01,0,S. pombe specific DUF999 protein family 5,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-09,SPBC1348.14c,ght7,hexose transporter Ght7,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-10,SPBC14C8.04,0,acetolactate synthase regulatory unit,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-11,SPBC1539.06,0,acyl-coenzyme A binding protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-12,SPBC1539.08,arf6,"ADP-ribosylation factor, Arf family",ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-13,SPBC1539.10,0,ribosome biogenesis protein Nop16,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-14,SPBC15D4.02,0,transcription factor,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 New strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-15,SPBC15D4.06,0,NatC N-acetyltransferase complex catalytic subunit,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-16,SPBC1604.09c,0,exoribonuclease Rex4,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-17,SPBC1604.18c,0,vacuolar sorting protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-18,SPBC16A3.07c,nrm1,negative regulator of MBF,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-19,SPBC16C6.05,0,translation initiation factor,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-20,SPBC16E9.15,0,heat shock factor binding protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-21,SPBC1703.08c,0,5-formyltetrahydrofolate cyclo-ligase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-22,SPBC1703.11,0,optic atrophy 3 family protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-23,SPBC1709.18,tif452,translation initiation factor eIF4E 4F complex subunit,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-24,SPBC1711.14,rec15,meiotic recombination protein Rec15,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-25,SPBC1711.15c,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-26,SPBC18E5.14c,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-27,SPBC18H10.07,0,WW domain-binding protein 4,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-28,SPBC19F8.01c,spn7,septin Spn7,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-29,SPBC215.04,git11,heterotrimeric G protein gamma subunit Git11,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-30,SPBC21B10.08c,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-31,SPBC21C3.11,ubx4,UBX domain protein Ubx4,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-32,SPBC21D10.08c,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-33,SPBC23E6.05,arx1,ribosomal export complex Arx1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-34,SPBC23G7.15c,rpp202,60S acidic ribosomal protein P2B subunit,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-35,SPBC23G7.16,ctr6,copper transporter Ctr6,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-36,SPBC24C6.05,sec28,coatomer epsilon subunit,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-37,SPBC29A10.12,0,HMG-box variant,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-38,SPBC29A3.21,0,sequence orphan,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P02-39,SPBC29B5.03c,rpl26,60S ribosomal protein L26,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-40,SPBC2D10.16,0,sequence orphan,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-41,SPBC2D10.20,ubc1,ubiquitin conjugating enzyme Ubc1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-42,SPBC2G2.05,rpl1603,60S ribosomal protein L13/L16,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-43,SPBC30D10.09c,0,HVA22/TB2/DP1 family protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-44,SPBC31F10.05,mug37,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-45,SPBC32F12.08c,duo1,DASH complex subunit Duo1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-46,SPBC32H8.05,0,conserved fungal protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-47,SPBC337.09,erg28,Erg28 protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-48,SPBC337.16,cho1,phosphatidyl-N-methylethanolamine N-methyltransferase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-49,SPBC365.06,pmt3,SUMO,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P02-50,SPBC3B9.05,0,helper of TIM (Predicted),ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-51,SPBC3D6.09,dpb4,DNA polymerase epsilon subunit Dpb4,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-52,SPBC4B4.06,vps25,ESCRT II complex subunit Vps25,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P02-53,SPBC4C3.12,sep1,fork head transcription factor Sep1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-54,SPBC56F2.14,mrpl44,mitochondrial ribosomal protein subunit l44,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-55,SPBC577.02,rpl3801,60S ribosomal protein L38,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P02-56,SPBC577.04,0,human THOC5 homolog,ver 2.0 to 5.0 New strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P02-57,SPBC83.04,apc15,anaphase-promoting complex subunit Apc15,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-58,SPBC83.19c,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-59,SPBC839.14c,0,methyltransferase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-60,SPBC887.08,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-61,SPBC8D2.02c,0,vacuolar sorting protein Vps68,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-62,SPBC947.14c,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
